章節,知識點,題目,答案,來源,content_match,參考內容,參考頁碼
B_機器學習-非監督式學習,非監督式學習的常見工具與流程-降維技術,常見的降維技術有哪些？,主成分分析(PCA)、線性判別分析(LDA)、t-SNE。,1132對應,yes,"常用模型（Models）
1. 主成分分析（PCA, Principal Component Analysis）
○透過計算數據的方差來找到主要變異方向，並投影到較少的「主成分」。
○應用：圖像處理、金融數據分析、降噪。
2. 線性判別分析（LDA, Linear Discriminant Analysis）
○用於監督式學習，透過最大化類間變異與最小化類內變異來尋找最佳投影方向。
○應用：分類問題，如人臉識別。
3. t-SNE（t-Distributed Stochastic Neighbor Embedding）
○一種非線性降維技術，透過保持數據點之間的局部關係，適合高維數據的視覺化。
○應用：基因數據分析、影像特徵視覺化。",26
B_機器學習-非監督式學習,非監督式學習的常見工具與流程-降維技術,PCA 降維的基本原理是什麼？,透過計算數據的方差來找到主要變異方向，並投影到較少的主成分。,1132對應,yes,"1. 主成分分析（PCA, Principal Component Analysis）
○透過計算數據的方差來找到主要變異方向，並投影到較少的「主成分」。
○應用：圖像處理、金融數據分析、降噪。",26
B_機器學習-非監督式學習,非監督式學習的應用,非監督式學習的主要應用有哪些？,金融詐騙檢測、網絡安全、製造業故障預測等。,1132對應,yes,"非監督式學習的應用
• 金融詐騙檢測：分析交易記錄以識別不尋常的交易模式。
• 網絡安全：檢測不尋常的流量模式以識別潛在攻擊。
• 製造業故障預測：通過監控設備運行數據識別潛在故障。",7
C_深度學習-多層感知器,前向傳播 (Forward Propagation) 機制,什麼是前向傳播？,前向傳播是神經網路依序計算每一層輸出，最後產生預測結果的過程。,1132對應,yes,"前向傳播是神經網絡計算過程的第一步，主要包括以下幾個步驟：
1. 數據輸入：將訓練數據輸入到神經網絡的輸入層。
2. 加權計算：每個神經元對接收到的輸入進行加權求和，並添加偏置項。
3. 激活函數應用：將計算結果通過激活函數（如ReLU或Sigmoid）進行非線性變換，以決定每個神經元的輸出。
4. 層間傳遞：隱藏層的輸出作為下一層的輸入，這一過程重複進行，直到達到輸出層。
5. 損失計算：最後，將模型的預測結果與真實標籤進行比較，通過損失函數計算誤差。",16-17
C_深度學習-多層感知器,反向傳播 (Backpropagation) 機制,什麼是反向傳播？,根據損失值計算梯度，並依據梯度反向更新模型參數的過程。,1132對應,yes,"反向傳播（Backward Propagation）
反向傳播是神經網絡訓練中的第二步，主要用於更新權重以最小化損失。其過程如下：
1. 計算損失梯度：根據前向傳播中計算出的損失值，首先計算損失函數（均方誤差or 交叉熵損失）對輸出層激活值的梯度。
2. 逐層反向傳遞：利用鏈式法則，將梯度從輸出層逐層向後傳遞。這一過程中，每一層的梯度乘以該層激活函數的導數，以獲得每個參數對損失函數的貢獻程度。
3. 權重更新：根據計算出的梯度，使用優化算法（如隨機梯度下降）來更新每個權重和偏置，以減少損失：","26, 27"
C_深度學習-多層感知器,反向傳播 (Backpropagation) 機制,交叉熵損失函數常用於什麼任務？,分類任務，尤其是搭配 Sigmoid 或 Softmax 使用。,1132對應,yes,"Cross-Entropy（交叉熵）
目的：評估預測機率與實際分類之間的不一致程度
應用情境：
●分類任務（Classification）
○二元：輸出層使用Sigmoid
○多類別：輸出層使用Softmax
特點：
●懲罰機率預測偏差大的情況
●比MSE在分類任務上更有效率與穩定",29
C_深度學習-多層感知器,反向傳播 (Backpropagation) 機制,請簡要說明梯度爆炸的原因與影響。,原因包括權重初始化過大或網路過深，會導致模型更新異常、訓練不穩。,1132對應,yes,"梯度爆炸（Gradient Explosion）
隨著誤差在網路中反向傳遞，梯度值逐層放大變得極大，導致模型更新異常、發散不穩。
原因：
●權重初始化過大
●激活函數導數大於1
●太深的網路結構導致梯度相乘快速放大
結果：
●權重更新過大→ 模型發散或出現NaN
●訓練過程極不穩定",33
C_深度學習-多層感知器,多層感知器的應用,在多層感知器的實作中，輸入的影像資料如何處理？,影像展平成向量並進行正規化處理。,1132對應,yes,圖示左邊是 MNIST 資料集中的手寫數字圖像，大小為 28x28 像素。該圖像經過 “reshape” 後轉換為一個 1x784 的向量，作為神經網路的輸入層。,37
C_深度學習-多層感知器,感知器與多層感知器理論基礎,多層感知器（MLP）主要由哪三個結構組成？,輸入層、隱藏層與輸出層。,1132對應,yes,"多層感知器（MLP）是一種前饋型人工神經網絡，主要由三個核心組成部分構成：
1. 輸入層...2. 隱藏層...3. 輸出層...（第12-14頁）","12, 13, 14"
C_深度學習-多層感知器,感知器與多層感知器理論基礎,在多層感知器中，輸出層的激活函數應如何選擇？,分類任務使用 Softmax，回歸任務則使用線性激活函數。,1132對應,yes,輸出層...根據任務的不同，輸出層的結構也會有所不同，例如分類任務可能使用Softmax激活函數，而回歸任務則使用線性激活函數。（第14頁）,14
C_深度學習-多層感知器,感知器與多層感知器理論基礎,請說明隱藏層在多層感知器中的作用。,進行非線性轉換與特徵提取，提升模型對複雜資料的處理能力。,1132對應,yes,"2. 隱藏層
●功能：進行數據的非線性轉換與特徵提取。隱藏層的神經元數量和層數可以根據問題的複雜性進行調整。
●結構：隱藏層可以有一層或多層，並且每一層的神經元與前一層和後一層的神經元都是全連接的。這意味著每個神經元都與前一層的所有神經元相連。",13
C_深度學習-多層感知器,感知器與多層感知器理論基礎,請說明 ReLU 激活函數的主要優點。,計算簡單、減少梯度消失、加快訓練收斂速度。,1132對應,yes,"激活函數（ReLU）
輸出範圍：[0, ∞)
特點：
●非常簡單、運算快
●有效減少梯度消失問題
●加快收斂速度，是目前最常用的隱藏層激勵函數
缺點：
●可能導致「死神經元問題」（Dead Neurons）
圖形特徵：負區域為0，正區域為線性斜率1",21
C_深度學習-多層感知器,感知器與多層感知器理論基礎,請列出 Sigmoid 函數的兩個缺點。,容易造成梯度消失、在正負區域容易飽和。,1132對應,yes,"激活函數（Sigmoid）
輸出範圍：(0, 1)
特點：
●常用於二元分類的輸出層
●可以解釋為「機率」的概念
缺點：
●容易造成梯度消失（Gradient Vanishing）
●在正負區域容易飽和
圖形特徵：S型曲線（中心對稱於x=0）",18
C_深度學習-多層感知器,深度學習簡介與應用,深度學習與傳統機器學習在特徵處理上的最大差異是什麼？,深度學習能自動從資料中學習特徵，而傳統機器學習需仰賴人工設計特徵。,1132對應,yes,"深度學習的流程：...模型自動學習特徵與分類...特徵由模型自動學習，適合高維、複雜資料。
傳統機器學習的流程：...人工特徵萃取...成敗很大一部分取決於「特徵萃取的好壞」。
（第3頁）
...傳統機器學習（Traditional ML）：高度依賴人工設計特徵（需要專家知識）...深度學習（Deep Learning）：模型自動從資料中學習特徵...（第5頁）","3, 5"
D_深度學習-遞歸神經網路,序列資料的定義與特性,什麼是序列資料？,序列資料是具有時間或順序關係的資料，順序不能打亂，因為前後順序會影響整體意義或結果。,1132對應,yes,"什麼是序列資料？（Sequential Data）
序列資料就是「有時間或順序關係」的資料。
這些資料的每個元素之間是相關聯的、順序不能打亂，因為前後順序會影響整體意義或結果。",3
D_深度學習-遞歸神經網路,序列資料的定義與特性,舉出三個序列資料的例子。,文字/語言、聲音/語音、股市資料。,1132對應,yes,"表格有兩欄：「類型」及「說明」。
- 類型包括：
  - 文字/語言
  - 聲音/語音
  - 股市資料
  - 感測器資料（IoT）
  - 使用者操作行為",4
D_深度學習-遞歸神經網路,序列資料的定義與特性,序列資料有哪些關鍵特性？,順序性、時間依賴性、自相關性、非穩定性、不平衡時間間隔。,1132對應,yes,"序列資料的關鍵特性
特性 說明
順序性 資料之間有時間先後，順序不能打亂
時間依賴性 現在的資料可能受到過去資料影響（如過去氣溫影響今日天氣）
自相關性 一筆資料可能與「前N筆」高度相關
非穩定性 許多時間序列會有趨勢、季節性或突變
不平衡時間間隔 有些資料不是每筆都在固定時間點出現（例如IoT感測器）",5
D_深度學習-遞歸神經網路,序列資料的處理與特徵工程,資料平滑的目的是什麼？,去除資料中的短期雜訊或突變點，使趨勢更明顯，提升預測穩定性。,1132對應,yes,"資料平滑是用來去除資料中的「短期雜訊」或「突變點」，幫助我們更清楚看出資料的趨勢變化，尤其適用於時間序列資料（如股價、溫度、感測器數據等）。
問題情境
說明
原始資料太跳動
短期波動太大，無法看出整體走勢
模型容易被雜訊干擾
對RNN或預測模型造成誤判
想看出趨勢線或變化方向
平滑後能更容易看出上升/下降趨勢",9
D_深度學習-遞歸神經網路,序列資料的處理與特徵工程,常見的資料平滑方法有哪些？,移動平均、指數加權移動平均（EMA）、局部加權回歸（LOESS/LOWESS）。,1132對應,yes,"資料平滑（Smoothing）
1️⃣移動平均（Moving Average）
●最常見平滑法，取前幾個時間點的平均值。
2️⃣指數加權移動平均（Exponential Moving Average, EMA）
●對近期資料給較大權重，更快速反應趨勢變化。
●有個平滑參數α（0~1）控制敏感度。
●適合資料變動頻繁時。
3️⃣局部加權回歸（LOESS / LOWESS）
●在每個時間點做局部擬合，適合視覺化呈現平滑線條。",10
D_深度學習-遞歸神經網路,序列資料的處理與特徵工程,什麼是滑動視窗特徵？,將資料以固定時間區間切割，利用過去幾天的資料組合成特徵，幫助模型預測。,1132對應,yes,"滑動視窗特徵（Window-based Features）
概念：
●將資料用「固定時間區間」切割，每個時間點用一個「過去幾天的資料組合」來建立特徵。
●類似「把過去幾天一起當成輸入特徵」。
時間
原始數據
特徵（前3日平均）
Day 4
55
(Day1+Day2+Day3)/3
Day 5
52
(Day2+Day3+Day4)/3",13
D_深度學習-遞歸神經網路,序列資料的處理與特徵工程,什麼是時間延遲特徵？,將前N天的數值作為今日的特徵輸入，例如Lag_1代表昨天的數值。,1132對應,yes,"時間延遲特徵（Lag Features）
概念：
●直接把「前N天的數值」當成今天的特徵。
時間
今日數據
Lag_1 (昨天)
Lag_2 (前天)
Day 3
53
52
54
Day 4
56
53
52",14
D_深度學習-遞歸神經網路,序列資料的處理與特徵工程,處理缺漏值的方法有哪些？,丟棄資料、平均/中位數填補、前向填補、後向填補、插值法等。,1132對應,yes,"缺漏值處理方法
方法
說明
使用時機
丟棄資料（Drop）
直接刪除缺值所在資料列/欄
缺值少、不影響樣本結構時
平均/中位數填補
用鄰近資料的平均/中位數補上
資料波動不大時
前向填補（Forward Fill）
用前一筆資料值補上
資料變化平穩、如感測器資料
後向填補（Backward Fill）
用後一筆資料值補上
資料時間遞延性不大時
插值法（Interpolation）
數學方法補值，如線性插值
時間序列趨勢平滑時",16
D_深度學習-遞歸神經網路,序列資料的處理與特徵工程,在實作RNN中，為什麼要做數據標準化？,神經網路對輸入數值範圍敏感，標準化可提升模型穩定性與收斂速度。,1132對應,yes,"為什麼需要標準化？
●原始資料的數值範圍可能差異很大，會造成模型訓練時某些變數佔主導。
●有些模型（如RNN、神經網路）對輸入數值範圍很敏感，如果不標準化，會影響收斂速度與準確率。",8
D_深度學習-遞歸神經網路,遞歸神經網路的基本概念與限制,什麼是RNN（遞歸神經網路）的記憶特性？,RNN可保留前一個時間步的隱藏狀態，使模型能記住過去資訊影響當前輸出。,1132對應,yes,"「記憶」的概念（Memory）
●在RNN 中，每個時間步（Time Step）除了接收新的輸入資料，還會保留前一個時間步的隱藏狀態（hidden state）。
●這個隱藏狀態就像「短期記憶」，幫助模型知道「過去發生了什麼」，進而影響現在的決策。
比喻：RNN 像是一個講故事的人，他不只是記住現在這句話，還記得前幾句發生了什麼，才能讓故事說得通順。",21
D_深度學習-遞歸神經網路,遞歸神經網路的基本概念與限制,RNN和傳統神經網路的差異是什麼？,RNN處理序列資料，具有時間記憶與參數共享；傳統神經網路則無法記憶前文。,1132對應,yes,"RNN像「講故事的人」：每一句話都會根據前一句話來延續情節。
RNN像「一段影片」：資料是連續的，有時間脈絡的。
RNN：序列資料（如文字、語音、時間序列），考慮時間順序，每個輸入受前一個影響，可記住前一個時間步的資訊（隱藏狀態），所有時間步共享相同參數。
傳統神經網路：固定長度輸入（如圖片），每個輸入獨立處理，沒有「時間記憶」，每層有獨立參數。","19, 20"
D_深度學習-遞歸神經網路,遞歸神經網路的基本概念與限制,什麼是BPTT（時間展開反向傳播）？,一種針對RNN時間依賴性的梯度計算方法，需展開序列並逐步計算誤差對參數的影響。,1132對應,yes,"Backpropagation Through Time (BPTT) 的背景與必要性
...RNN因其隱藏狀態的時間依賴性，能夠處理序列資料。然而，這也意味著網路在每個時間步共享相同的參數，且隱藏狀態在時間上有依賴關係。
...RNN則需將時間展開（unroll）成一個深層的前饋網路，以便沿著時間軸計算每個時間步的誤差對參數的貢獻。因此，BPTT便成為在這種展開結構下進行梯度計算的必要工具。",23
D_深度學習-遞歸神經網路,遞歸神經網路的基本概念與限制,什麼是 RNN 的長期依賴問題？,當序列變長時，RNN 容易忘記早期輸入的資訊，造成模型無法記住長期資訊，這就是長期依賴問題。,1132對應,yes,"什麼是長期依賴問題？
●RNN 雖然能記住前一個時間步的資訊，但當時間序列變長時，早期輸入的影響力會逐漸消失。
●模型越往後處理，就越容易「忘記」前面的重要資訊。
EX1: 傳話遊戲-> 前面的人講了一句話，傳到第10個人時訊息可能已經失真或遺失了。
EX2: 看小說猜結局-> 若只記得最近一兩章內容，就無法理解整個故事的發展。",26
D_深度學習-遞歸神經網路,遞歸神經網路的基本概念與限制,長期依賴問題會導致什麼結果？,模型只能學會短期依賴，無法準確預測需要跨多個時間步的資訊。,1132對應,yes,"什麼是長期依賴問題？
●RNN 雖然能記住前一個時間步的資訊，但當時間序列變長時，早期輸入的影響力會逐漸消失。
●模型越往後處理，就越容易「忘記」前面的重要資訊。
EX1: 傳話遊戲-> 前面的人講了一句話，傳到第10個人時訊息可能已經失真或遺失了。
EX2: 看小說猜結局-> 若只記得最近一兩章內容，就無法理解整個故事的發展。",26
D_深度學習-遞歸神經網路,遞歸神經網路的基本概念與限制,為什麼 RNN 會產生梯度消失或爆炸？,因為在時間展開的反向傳播過程中，誤差會在長時間序列中逐步放大或縮小，造成梯度異常。,1132對應,yes,"為什麼會發生？
●在RNN 的訓練過程中，誤差會從最後一個時間步往前傳遞（Backpropagation Through Time）。
●當序列很長時，誤差在回傳過程中會逐漸變得很小（梯度消失）或爆炸（梯度爆炸），導致早期資訊無法有效學習。",27
D_深度學習-遞歸神經網路,遞歸神經網路的應用,語言模型的核心能力是根據前面輸入的文字，做什麼樣的預測？,預測下一個最有可能的字或詞。,手動新增,yes,"語言模型：文字自動完成
語言模型的核心能力是根據前面輸入的文字，預測下一個最
有可能的字或詞。這使機器能夠理解上下文並生成連貫的文
本，極大地提升了數位互動的效率與體驗。
智慧輸入法
根據使用者輸入歷史，精準預測下一個字詞，提高打
字速度。
程式碼補全
在程式開發環境中，自動建議完整的函數名或變數，
減少錯誤並加速編程。
智慧聊天機器人
提供流暢自然的對話回應，支援客戶服務、語音助理
等多種應用場景。",42
D_深度學習-遞歸神經網路,遞歸神經網路的應用,在股票價格預測中，RNN、LSTM 或 GRU 等模型之所以重要，是因為它們能夠捕捉到股價時間序列資料中的哪兩個特性？,複雜模式和長期依賴性,手動新增,yes,"應用案例介紹
股票價格預測
目的：利用過去時間序列的股價資料，結合多種分析工具，
來預測未來股票的走勢，幫助投資者做出更明智的決策。
應用情境：
金融市場分析：提供對市場波動的洞察，評估風險與機會。
投資輔助系統：作為個人或機構投資決策的重要參考依據，
輔助量化交易策略的制定。
在股票價格預測中，RNN、LSTM或GRU等模型能夠捕捉股
價時間序列中的複雜模式和長期依賴性，這對於預測波動性
高的金融市場尤為重要。",43
D_深度學習-遞歸神經網路,遞歸神經網路的應用,情感分析能自動判斷文字的情緒傾向，通常將其分為哪三種類別？,"1.正向情緒（如滿意、喜愛）
2.負向情緒（如不滿、失望）
3.中立情緒（客觀描述事實）",手動新增,yes,"應用案例介紹
情感分析（Sentiment Analysis）
情感分析是一種利用自然語言處理（NLP）技術，自動判斷文字資料中所表達情
緒傾向的方法。它能識別文字是正向、負向還是中立，廣泛應用於商業與社會領
域。
正向情緒
表達滿意、喜愛或樂觀
的文字，如產品評論中
的「非常滿意」或「體
驗極佳」。
負向情緒
反映不滿、失望或憤怒
的文字，例如客戶服務
抱怨中的「令人失望」
或「非常糟糕」。
中立情緒
既不偏向正向也不偏向
負向，僅客觀描述事實，
如新聞報導或產品規格
說明。",44
D_深度學習-遞歸神經網路,遞歸神經網路的模型評估,RNN常用的損失函數有哪些？,回歸任務用MSE，分類任務用Cross-Entropy。,1132對應,yes,"模型評估：MSE（均方誤差）
目的：衡量預測值與真實值之間差距的平方
應用情境：
●常用於回歸問題（Regression）
...
模型評估：Cross-Entropy（交叉熵）
目的：評估預測機率與實際分類之間的不一致程度
應用情境：
●分類任務（Classification）
○二元：輸出層使用Sigmoid
○多類別：輸出層使用Softmax","39, 40"
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),LSTM 是為了解決什麼問題而設計的？,LSTM 是為了解決 RNN 的長期依賴問題，透過選擇性記憶機制來保留重要資訊。,1132對應,yes,LSTM（Long Short-Term Memory）是為了解決RNN 長期依賴問題而設計的。它利用閘門機制（Gating Mechanism）來「選擇性保留或遺忘資訊」，就像一個聰明的記憶系統。,30
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),LSTM 模型中的三個閘門是什麼？,忘記閘（Forget Gate）、輸入閘（Input Gate）、輸出閘（Output Gate）。,1132對應,yes,"LSTM（Long Short-Term Memory）是為了解決RNN 長期依賴問題而設計的。它利用閘門機制（Gating Mechanism）來「選擇性保留或遺忘資訊」，就像一個聰明的記憶系統。
1. 忘記閘（Forget Gate）
2. 輸入閘（Input Gate）
3. 輸出閘（Output Gate）",30
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),LSTM 的忘記閘有什麼功能？,控制哪些舊資訊應該被清除。,1132對應,yes,"1. 忘記閘（Forget Gate）
●功能：決定「哪些舊記憶該被遺忘」。
●它會根據目前輸入與過去狀態，產生一個值（0~1），來控制每個記憶單元的遺忘程度。
比喻：橡皮擦：擦掉不重要的舊資訊。",31
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),LSTM 的輸入閘有什麼功能？,選擇哪些新資訊應該被加入記憶中。,1132對應,yes,"2. 輸入閘（Input Gate）
●功能：決定「哪些新資訊應該被加入記憶」。
●包括兩個部分：選擇性的資訊輸入通道+ 新記憶內容的生成。
比喻：螢光筆：標記重要的新資訊，寫進筆記本。",32
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),LSTM 的輸出閘有什麼功能？,決定哪些資訊要輸出給下一個時間步。,1132對應,yes,"LSTM（長短期記憶）
3. 輸出閘（Output Gate）
●功能：決定「目前要讀出哪些資訊作為輸出」。
●控制新狀態如何被送到下一個時間步。
比喻：
書籤：從筆記本中選出目前要使用的資訊。",33
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),GRU 模型是什麼？,GRU 是一種改良的 RNN 結構，透過更簡化的閘門機制解決長期依賴問題。,1132對應,yes,"GRU（門控循環單元）
GRU 是什麼？
GRU 是一種改良型的RNN 結構，它用更簡化的方式來解決RNN 的「長期依賴問題」，與LSTM 相似，但只用了兩個「閘門機制」：
1. 更新閘（Update Gate）
2. 重置閘（Reset Gate）",35
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),GRU 模型有哪些閘門？,更新閘（Update Gate）與重置閘（Reset Gate）。,1132對應,yes,"GRU（門控循環單元）
GRU 是一種改良型的RNN 結構，它用更簡化的方式來解決RNN 的「長期依賴問題」，與LSTM 相似，但只用了兩個「閘門機制」：
1. 更新閘（Update Gate）
2. 重置閘（Reset Gate）",35
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),GRU 的更新閘有什麼功能？,決定保留多少舊記憶與更新多少新資訊，功能類似 LSTM 的忘記閘與輸入閘的結合。,1132對應,yes,"GRU（門控循環單元）
1. 更新閘（Update Gate）
功能：
●決定當前時間步的狀態要更新多少，還是保留多少舊的記憶（hₜ₋₁）。
●相當於結合了LSTM 的「忘記閘+ 輸入閘」功能。
比喻：
更新門像是「筆記本的編輯機制」：決定哪些內容要改寫、哪些舊資料保留不動。
效果：
●如果更新閘門值很小→ 多保留舊記憶。
●如果更新閘門值很大→ 多接受新資訊。",36
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),GRU 的重置閘有什麼功能？,控制新資訊與舊記憶結合的深度，類似選擇性遺忘機制。,1132對應,yes,"GRU（門控循環單元）
2. 重置閘（Reset Gate）
功能：
●決定當前輸入與過去記憶應該「結合得多深」。
●控制是否「清除部分舊記憶」來重新接收新輸入。
比喻：
重置閘像是「重新整理你的思緒」：當你處理新的任務時，是否要把過去的記憶暫時關掉，重新專注。
效果：
●如果重置閘門值很小→ 幾乎忽略過去記憶，只關心新輸入。
●如果重置閘門值很大→ 新輸入會結合過去記憶。",37
D_深度學習-遞歸神經網路,長短期記憶模型(LSTM)與門控循環單元模型 (GRU),LSTM 和 GRU 有何不同？,LSTM 有三個閘門結構較複雜，GRU 結構較簡單只有兩個閘門但效果相近。,1132對應,yes,"LSTM（長短期記憶）/ GRU（門控循環單元）
模型
全名
核心特色
LSTM
Long Short-Term Memory
引入「記憶單元」與「三個閘門」來控制資訊流動
GRU
Gated Recurrent Unit
結構更簡化，只有兩個閘門，但效果類似

GRU 是一種改良型的RNN 結構，它用更簡化的方式來解決RNN 的「長期依賴問題」，與LSTM 相似，但只用了兩個「閘門機制」：1. 更新閘（Update Gate）2. 重置閘（Reset Gate）","29, 35"
E_CNN 核心原理解析,CNN 是什麼？電腦的「視覺大腦」！,CNN 被稱為「局部特徵」大師，這意味著它在處理圖片時，能做到傳統電腦做不到的什麼事？,它能專注於圖片的「局部區域」，從中提取出有意義的特徵（例如：線條、邊緣、紋理），這讓 CNN 能夠識別複雜圖像中的結構性特徵。,手動新增,yes,"2. CNN 的核心概念：為什麼需要它？
CNN 的應運而生：電腦的「視覺大腦」！
「局部特徵」大師
它能專注於圖片的局部區域，從中提取出有意義的特徵（例如：線條、邊緣、紋理）。
這種局部處理方式使得CNN能夠識別複雜圖像中的結構性特徵。",19
E_CNN 核心原理解析,CNN 是什麼？電腦的「視覺大腦」！,當物體發生角度變換、大小改變或光線不同時，傳統方法容易辨識失敗，而 CNN 主要透過什麼能力來克服這個問題並適應複雜環境？,CNN 透過強大的「學習」能力（或自主學習能力）。經過大量圖片訓練，它會自己學會判斷哪些特徵最重要，因此即使物體有些許變化也能成功辨識。,手動新增,yes,"2. CNN 的核心概念：為什麼需要它？
CNN 的應運而生：電腦的「視覺大腦」！
「學習」能力強
透過大量圖片訓練，CNN 會自己學會
判斷哪些特徵最重要，即使物體有些
許變化也能辨識出來。
這種自主學習能力讓CNN能夠適應各
種複雜的視覺環境。",20
E_CNN 核心原理解析,CNN 的魔法濾鏡：卷積層,在程式碼中，CNN 的「濾鏡」本質上是什麼？,濾鏡本質上就是一個個小小的「數字矩陣」（例如 3x3 或 5x5 的方塊）。矩陣裡面的數字，代表著它要偵測的特定模式。,手動新增,yes,"2. 程式中的濾鏡：如何提取圖片的「特徵」
CNN 濾鏡的本質：數字矩陣
在程式碼裡，CNN 的「濾鏡」其實就是
一個個小小的數字矩陣（例如3x3、5x5 
的方塊）。
每個濾鏡裡面的數字，代表著它要「偵測
」的特定模式。
這些數字矩陣通過訓練自動調整，以便能
夠識別各種不同的視覺特徵。",31
E_CNN 核心原理解析,CNN 的魔法濾鏡：卷積層,當濾鏡在圖片上滑動進行「卷積運算」時，實際上是在做什麼數學計算？,濾鏡會與圖片該區域的像素數值進行「乘法」並「加總」。運算出來的結果，代表該區域與這個濾鏡特徵的「相似程度」。,手動新增,yes,"3. 為什麼叫「卷積」神經網路？
「掃描」後的結果：特徵圖
每當濾鏡掃過一個區域，它就會和該區域的像素值進行數學運算（乘法和加法）。
運算後的結果，就形成了新的「特徵圖」（Feature Map）。
這張「特徵圖」並不是原圖本身，而是強調了圖片中某種特定「特徵」的新圖片。
2. 程式中的濾鏡：如何提取圖片的「特徵」
如何「偵測」特徵？
濾鏡會在圖片上從左到右、從上到下，一
步步地「滑動」（這就是卷積運算）。
每滑動到一個位置，它就將濾鏡裡的數字
，與圖片該區域的像素數字進行乘法並加
總。
這個運算結果，就代表了該區域與這個濾
鏡「特徵」的相似程度。","24, 32"
E_CNN 核心原理解析,CNN 的魔法濾鏡：卷積層,經過卷積運算掃描後，會產生一張新的圖片，這張圖被稱為什麼？它代表什麼意義？,這張新圖片稱為「特徵圖 (Feature Map)」。 它不是原圖，而是強調了圖片中某種特定「特徵」（如邊緣、紋理、顏色）的結果。,手動新增,yes,"3. 為什麼叫「卷積」神經網路？
「掃描」後的結果：特徵圖
每當濾鏡掃過一個區域，它就會和該區域的像素值進行數學運算（乘法和加法）。
運算後的結果，就形成了新的「特徵圖」（Feature Map）。
這張「特徵圖」並不是原圖本身，而是強調了圖片中某種特定「特徵」的新圖片。
2. 程式中的濾鏡：如何提取圖片的「特徵」
變出「特徵圖」（Feature Map）
所有運算結果，會形成一張全新的圖片，我們稱之為「特徵圖」。
邊緣偵測濾鏡
讓圖片的邊緣線條特別明
顯。這種濾鏡能找出物體
輪廓，幫助辨識物體形狀
。
紋理偵測濾鏡
凸顯圖片的粗糙或平滑質
感。這種濾鏡能分辨不同
物體表面的特性，如毛髮
、皮膚等。
顏色偵測濾鏡
找出特定顏色的區域。這
種濾鏡能根據顏色特性區
分不同物體，增強辨識準
確度。","24, 33"
E_CNN 核心原理解析,CNN 總結與應用展望,列舉三個 CNN 實際運用的場景,"1.手機刷臉解鎖。
2.機場或門禁系統的人臉辨識。
3.社群媒體自動標註人臉。",手動新增,yes,"2. CNN 在生活中的應用
1. 刷臉時代：人臉辨識與解鎖
應用：手機刷臉解鎖、機場或門禁系統的人
臉辨識、社群媒體自動標註人臉。
CNN 如何運作：它能精準地從你的臉部圖
片中，提取出眼睛、鼻子、嘴巴、臉部輪廓
等獨特的細節特徵，並與資料庫中的特徵比
對，確認你的身份。
2. AI 醫生：醫療影像的智慧診斷
應用：輔助醫生判讀X 光片、CT 斷層掃描
、MRI 核磁共振影像，找出微小的病變（如
腫瘤、病灶）。
CNN 如何運作：訓練CNN 學習大量正常與
異常的醫學影像特徵，讓它能比肉眼更快、
更客觀地發現影像中的異常區域，為醫生提
供第二意見。",57
E_CNN 核心原理解析,CNN 總結與應用展望,CNN 在人臉辨識運作時，主要會從臉部圖片中提取哪些獨特的細節特徵來與資料庫比對？,眼睛、鼻子、嘴巴、臉部輪廓,手動新增,yes,"2. CNN 在生活中的應用
1. 刷臉時代：人臉辨識與解鎖
應用：手機刷臉解鎖、機場或門禁系統的人
臉辨識、社群媒體自動標註人臉。
CNN 如何運作：它能精準地從你的臉部圖
片中，提取出眼睛、鼻子、嘴巴、臉部輪廓
等獨特的細節特徵，並與資料庫中的特徵比
對，確認你的身份。
2. AI 醫生：醫療影像的智慧診斷
應用：輔助醫生判讀X 光片、CT 斷層掃描
、MRI 核磁共振影像，找出微小的病變（如
腫瘤、病灶）。
CNN 如何運作：訓練CNN 學習大量正常與
異常的醫學影像特徵，讓它能比肉眼更快、
更客觀地發現影像中的異常區域，為醫生提
供第二意見。",57
E_CNN 核心原理解析,回顧與暖身：AI 如何「看」？,AI 不僅會「思考」，還能像人類一樣「感知」世界。其中最直觀、應用也最廣泛的是哪一種能力？,視覺能力。,手動新增,yes,"1. AI 的感知能力
AI 不只會「思考」，也能像人類一樣「
感知」世界。
其中最直觀、應用最廣泛的，就是「視
覺」能力。
這種能力讓電腦能夠「看懂」照片、影
片中的內容，辨識物體、人臉，甚至理
解場景和動作。",6
